"ID",Page,Sub Menu,Feature,Bobot,Test,Action,Step,Expected Result,Actual Result,Status,Progress,Remarks of Test
B-012,KDS,Completed Orders,,50.00%,[Completed Order Status] Verifikasi status completed pada tiket pesanan,,"Prerequisite: Buka tab Completed pada halaman Expeditor

Steps:
- Periksa beberapa tiket pesanan pada daftar Completed 
- Periksa indikator status pada setiap item dalam tiket 
- Bandingkan status item dengan status order 
- Periksa apakah tiket tersebut masih muncul pada tab Open","- Semua item pada tiket ditampilkan sebagai selesai dengan indikator yang konsisten 
- Status order ditampilkan sebagai Completed 
- Tiket yang sudah completed tidak muncul kembali pada daftar Open 
- Status order tersimpan dengan benar pada sistem",,NOT DONE,0,
B-013,KDS,Order Recall,,50.00%,[Recall Ticket Action] Verifikasi fungsi Recall ticket pada order completed,,"Prerequisite: Buka tab Completed pada halaman Expeditor

Steps:
- Pilih salah satu tiket pesanan yang telah completed 
- Tekan tombol Recall ticket pada tiket tersebut 
- Periksa perubahan status order pada board 
- Periksa daftar order pada tab Open","- Order yang direcall kembali muncul pada daftar order aktif di tab Open 
- Status order berubah dari Completed menjadi aktif 
- Data item jumlah item dan modifikasi item tetap sama seperti sebelumnya 
- Sistem memproses recall tanpa error atau kehilangan data",,NOT DONE,0,
B-014,KDS,Order Recall,,50.00%,[Item Recall Action] Verifikasi fungsi recall pada item tertentu di tiket completed,,"Prerequisite: Buka tab Completed pada halaman Expeditor

Steps:
- Pilih salah satu tiket pesanan completed 
- Tekan ikon recall pada salah satu item di tiket 
- Periksa perubahan status pada item tersebut 
- Periksa daftar order aktif pada tab Open","- Item yang direcall kembali muncul pada daftar order aktif 
- Item tersebut dapat diproses ulang oleh staf dapur 
- Detail item tetap sama dengan pesanan sebelumnya 
- Sistem memproses recall tanpa kehilangan data",,NOT DONE,0,
B-015,KDS,Order Navigation,,33.33%,[Completed Order Pagination] Verifikasi navigasi halaman tiket completed,,"Prerequisite: Buka tab Completed pada halaman Expeditor

Steps:
- Periksa indikator pagination pada board 
- Tekan tombol panah kanan pada pagination 
- Periksa perubahan halaman tiket yang ditampilkan
- Tekan tombol panah kiri untuk kembali ke halaman sebelumnya","- Pagination berpindah halaman sesuai tombol navigasi 
- Indikator halaman ditampilkan dengan benar seperti 2/16 
- Tiket pada halaman berikutnya dimuat dengan benar 
- Navigasi halaman berjalan tanpa delay atau error",,NOT DONE,0,
B-016,KDS,Order Navigation,,33.33%,[Order Tab Switch] Verifikasi perpindahan tab Open dan Completed pada KDS,,"Prerequisite: Buka halaman Expeditor pada sistem KDS

Steps:
- Klik tab Open pada bagian atas halaman 
- Periksa daftar tiket yang ditampilkan 
- Klik tab Completed 
- Periksa perubahan daftar tiket pada board","- Sistem menampilkan daftar order sesuai tab yang dipilih 
- Tab Open menampilkan order aktif 
- Tab Completed menampilkan order yang sudah selesai 
- Perpindahan tab terjadi tanpa refresh manual",,NOT DONE,0,
B-017,KDS,Order Board,,14.29%,[Refresh Order Board] Verifikasi fungsi tombol refresh pada halaman Expeditor,,"Prerequisite: Buka halaman Expeditor pada sistem KDS

Steps:
- Periksa daftar tiket pada board 
- Tekan tombol Refresh pada bagian header 
- Tunggu proses pemuatan ulang data 
- Periksa kembali daftar tiket yang ditampilkan","- Sistem memuat ulang daftar tiket order terbaru pada board 
- Data order tetap konsisten setelah refresh 
- Tidak terjadi duplikasi tiket 
- Tidak terjadi kehilangan data order",,NOT DONE,0,
B-018,KDS,Main Kitchen,,20.00%,[Order Display] Verifikasi tampilan order pada halaman Main Kitchen,,"Prerequisite: Buka halaman Main Kitchen pada sistem KDS

Steps:
- Periksa daftar order pada tab Open 
- Periksa beberapa kartu order yang tampil pada board 
- Periksa informasi header pada setiap kartu seperti tipe order atau nomor meja dan nomor order 
- Periksa daftar item pada kartu order 
- Periksa tata letak kartu pada board","- Order yang sedang diproses tampil dalam bentuk kartu pada board 
- Informasi tipe order seperti Table atau To Go serta nomor order ditampilkan dengan jelas 
- Setiap kartu menampilkan daftar item pesanan 
- Tata letak kartu tersusun rapi tanpa overlap 
- Informasi order mudah dibaca oleh staf dapur",,NOT DONE,0,
B-019,KDS,Main Kitchen,,20.00%,[Item Details] Verifikasi tampilan detail item dan modifier pada order,,"Prerequisite: Buka halaman Main Kitchen pada sistem KDS

Steps:
- Pilih salah satu kartu order pada board 
- Periksa daftar item pada pesanan 
- Periksa jumlah item yang ditampilkan di sebelah nama item 
- Periksa modifier pada item seperti tambahan atau pengurangan bahan 
- Periksa keterbacaan teks item dan modifier","- Setiap item pesanan ditampilkan dengan jumlah item yang jelas 
- Modifier seperti Add Cheese Add Avocado Less Ice atau No Mayo ditampilkan di bawah item terkait 
- Modifier ditampilkan dengan format yang berbeda sehingga mudah dikenali staf dapur 
- Informasi item dan modifier mudah dibaca 
- Tampilan kartu tetap rapi dan konsisten",,NOT DONE,0,
B-020,KDS,Main Kitchen,,20.00%,[Print Ticket] Verifikasi fungsi tombol Print pada order,,"Prerequisite: Buka halaman Main Kitchen pada sistem KDS

Steps:
- Pilih salah satu kartu order pada board 
- Tekan tombol Print pada kartu order 
- Periksa respons sistem setelah tombol ditekan 
- Periksa hasil cetakan pada printer yang terhubung","- Sistem mengirim perintah cetak ke printer yang terhubung 
- Detail order yang dicetak sesuai dengan informasi pada kartu order 
- Proses pencetakan berjalan normal tanpa error 
- Status order pada board tidak berubah setelah proses cetak",,NOT DONE,0,
B-021,KDS,Main Kitchen,,20.00%,[Complete Order] Verifikasi fungsi tombol Complete pada order,,"Prerequisite: Buka halaman Main Kitchen pada sistem KDS

Steps:
- Pilih salah satu kartu order pada tab Open 
- Tekan tombol Complete pada kartu order tersebut 
- Periksa perubahan status order pada board 
- Periksa daftar order pada tab Completed","- Order yang diselesaikan berpindah dari daftar Open ke daftar Completed 
- Kartu order tidak lagi muncul pada board Open 
- Informasi order tetap tersimpan dengan benar 
- Perubahan status terjadi secara real-time tanpa error",,NOT DONE,0,
B-022,KDS,Main Kitchen,,20.00%,[Completed Order Display] Verifikasi tampilan order pada tab Completed di Main Kitchen,,"Prerequisite: Buka halaman Main Kitchen pada sistem KDS

Steps:
- Klik tab Completed pada halaman Main Kitchen 
- Periksa daftar order yang telah selesai 
- Periksa informasi yang ditampilkan pada setiap kartu order 
- Periksa tata letak kartu pada board","- Order yang telah diselesaikan tampil pada tab Completed 
- Informasi nomor order tipe order dan daftar item ditampilkan dengan jelas 
- Tata letak kartu tersusun rapi dan mudah dibaca 
- Tampilan board stabil tanpa error atau kehilangan data",,NOT DONE,0,
BA-001,Kiosk,Idle Attract,,14.29%,[Change Languange] Mengubah bahasa berkali kali dengan cepat,,"Prerequisite: saat di layar idle, klik button bahasa indonesia/english dibagian bawah layar

Steps:
saat di layar idle, klik button bahasa indonesia/english dibagian bawah layar",bahaha terubah sesuai dengan pilihan diseluruh halaman kiosk,As Expected,DONE,100,"[Actual Result: - modal pop up loading checkout berbahas inggris saat menggunaakan bahasa indonesia
- button ubah bahasa gabisa di klik 3x berturut turut dengan cepat]"
BA-002,Kiosk,Customize,,33.33%,[Add/Remove Product] Negatif,,"Prerequisite: menambahkan atau mengurangi ingredient/topping/quantity product dengan spam klik

Steps:
- klik start order
- pilih product yang memiliki customize
- jika masuk halaman upsell, pilih product yang diinginkan atau lewati
- tambahkan atau kurangi ingredient/topping/quantity product dengan mengklik button + atau - secara cepat",ingredient/topping/quantity product bertambah atau berkurang sesuai banyak klik user,As Expected,DONE,100,
BA-003,Kiosk,Checkout,,9.09%,[Pop Up Out of Stock] Negatif,,"Prerequisite: membeli product dengan ingredient yang kosong

Steps:
- klik start order
- pilih product yang memiliki ingredient/topping (misal Burger Ayam)
- selesaikan alur hingga ke halaman cart review
- pastikan salah satu ingredient/topping/product dalam kondisi OOS di backend
- klik tombol Payment
- periksa pop up yang muncul
- klik Recustomize
- periksa kondisi cart setelah selesai mengcustomize ulang","- pop up muncul menampilkan daftar item/ingredient/topping yang OOS
- informasi item yang OOS ditampilkan dengan jelas
- tombol Recustomize dapat ditekan dan mengarahkan customer ke halaman customize
- subtotal diperbarui sesuai item yang dipilih ulang",As Expected,DONE,100,[Actual Result: - product dengan ingredient utama yang habis tidak bisa di remove]
BA-004,Kiosk,Checkout,,9.09%,[Promo Code Minimum Purchase] Negatif,,"Prerequisite: gunakan PROMO20K saat total belanja di bawah Rp50.000

Steps:
- klik start order
- pilih product dengan harga di bawah Rp50.000
- selesaikan alur hingga ke halaman cart review
- klik tombol Promo Code
- masukkan kode PROMO20K
- klik tombol Go
- periksa respons sistem","- sistem menampilkan pesan error bahwa minimum pembelian tidak terpenuhi
- diskon tidak diterapkan ke total pembayaran
- total pembayaran tidak berubah
- pengguna dapat mencoba kode lain atau menutup pop up
- sistem tetap stabil tanpa crash",As Expected,DONE,100,
BA-005,Kiosk,Checkout,,9.09%,[Promo Code Valid Tanpa Syarat Minimum] Positif,,"Prerequisite: gunakan PROMO50K pada order berapapun

Steps:
- klik start order
- pilih product apapun
- selesaikan alur hingga ke halaman cart review
- klik tombol Promo Code
- masukkan kode PROMO50K
- klik tombol Go
- periksa perubahan pada subtotal dan total pembayaran","- promo berhasil diterapkan
- notifikasi promo applied muncul
- nilai diskon muncul pada ringkasan pembayaran
- subtotal berkurang sesuai nilai diskon
- tombol Payment tetap aktif",As Expected,DONE,100,
BA-006,Kiosk,Checkout,,9.09%,[Complete Order - Dine In Table Delivery] Positif,,"Prerequisite: lakukan order dari start hingga QRIS dengan metode table delivery

Steps:
- klik start order
- pilih kategori dan product
- selesaikan customize/upsell jika ada
- klik add to cart
- klik make payment
- pilih Dine In
- pilih Table Delivery
- masukkan nomor meja
- klik continue
- opsional masukkan promo
- klik Payment
- periksa QRIS yang muncul","- seluruh flow berjalan tanpa error
- nomor meja tersimpan pada ringkasan pesanan
- QRIS muncul dengan nilai yang sesuai total pembayaran
- sistem tidak freeze atau crash selama proses",As Expected,DONE,100,
BA-007,Kiosk,Checkout,,9.09%,[Complete Order - Dine In Pickup at Counter] Positif,,"Prerequisite: lakukan order dari start hingga QRIS dengan metode pickup at counter

Steps:
- klik start order
- pilih kategori dan product
- selesaikan customize/upsell jika ada
- klik add to cart
- klik make payment
- pilih Dine In
- pilih Pickup at Counter
- opsional masukkan promo
- klik Payment
- periksa QRIS yang muncul","- seluruh flow berjalan tanpa error
- tidak ada input nomor meja yang diminta
- QRIS muncul dengan nilai yang sesuai total pembayaran
- sistem tetap stabil selama proses",As Expected,DONE,100,
BA-008,Kiosk,Checkout,,9.09%,[Complete Order - Take Away] Positif,,"Prerequisite: lakukan order dari start hingga QRIS dengan metode take away

Steps:
- klik start order
- pilih kategori dan product
- selesaikan customize/upsell jika ada
- klik add to cart
- klik make payment
- pilih Take Away
- opsional masukkan promo
- klik Payment
- periksa QRIS yang muncul","- seluruh flow berjalan tanpa error
- tidak ada halaman food method yang muncul setelah take away dipilih
- QRIS muncul dengan nilai yang sesuai total pembayaran
- sistem tetap stabil selama proses",As Expected,DONE,100,
BA-009,Kiosk,Order Management,,16.67%,[Multiple Items Order] Positif,,"Prerequisite: tambahkan beberapa product dari kategori berbeda sebelum checkout

Steps:
- klik start order
- pilih kategori pertama dan tambahkan product ke cart
- klik continue ordering
- pilih kategori kedua dan tambahkan product ke cart
- ulangi untuk product ketiga jika perlu
- klik make payment
- periksa ringkasan pesanan di cart review
- selesaikan checkout","- seluruh product yang dipilih muncul pada cart review
- subtotal merupakan akumulasi harga seluruh product
- pajak dihitung berdasarkan total subtotal
- flow checkout berjalan normal
- sistem tidak error saat menangani multiple item",As Expected,DONE,100,
BA-010,Kiosk,Checkout,,9.09%,[OOS Cart Kosong Setelah Remove All] checkout product yang OOS,,"Prerequisite: pastikan seluruh product dalam cart OOS lalu klik payment

Steps:
- klik start order
- pilih product yang dalam kondisi OOS di backend
- selesaikan alur hingga cart review
- klik Payment
- periksa pop up OOS yang muncul
- klik Remove All
- periksa kondisi sistem setelah cart kosong","- pop up OOS muncul menampilkan seluruh item yang bermasalah
- setelah Remove All cart menjadi kosong
- tombol Payment menjadi tidak aktif atau tidak tersedia
- sistem mengarahkan pengguna kembali ke halaman awal
- tidak terjadi crash atau freeze",Not As Expected,FAILED,0,ketika barang di remove dan cart menjadi kosong user harus klik manual button back atau home untuk memulai ulang
BA-011,Kiosk,Recommendation,,25.00%,[Accept Recommendation Item] Positif,,"Prerequisite: pilih salah satu product yang direkomendasikan sistem

Steps:
- klik start order
- pilih product dan selesaikan hingga add to cart
- saat halaman recommendation muncul, pilih salah satu product
- jika product memiliki customize, selesaikan customize
- periksa halaman setelah memilih product rekomendasi","- product rekomendasi berhasil dipilih
- jika product memiliki customize, halaman customize muncul
- setelah selesai, sistem diarahkan ke halaman item added
- product rekomendasi muncul pada cart
- subtotal bertambah sesuai harga product rekomendasi",As Expected,DONE,100,
BA-012,Kiosk,Recommendation,,25.00%,[Skip Recommendation (Maybe Later)] Positif,,"Prerequisite: klik tombol maybe later saat halaman recommendation muncul

Steps:
- klik start order
- pilih product dan selesaikan hingga add to cart
- saat halaman recommendation muncul, klik tombol Maybe Later
- periksa halaman yang muncul setelahnya","- tidak ada product rekomendasi yang ditambahkan ke cart
- sistem langsung menuju halaman item added
- subtotal tidak berubah
- navigasi berjalan lancar tanpa error",As Expected,DONE,100,
BA-013,Kiosk,Meal Options,,25.00%,[Meal Option dengan Varian OOS] Negatif,,"Prerequisite: pilih product yang memiliki varian OOS di halaman meal option

Steps:
- klik start order
- pilih product yang memiliki halaman meal option
- periksa halaman meal option yang muncul
- pastikan salah satu varian dalam kondisi OOS (greyed out)
- periksa apakah varian OOS bisa diklik
- pilih varian yang tersedia","- varian OOS ditampilkan dalam kondisi greyed out
- varian OOS tidak bisa dipilih
- hanya varian yang tersedia yang bisa dipilih
- setelah memilih varian tersedia, sistem melanjutkan ke halaman berikutnya
- tidak terjadi error",As Expected,DONE,100,
BA-014,Kiosk,Customize,,33.33%,[Ganti Required Ingredient] Positif,,"Prerequisite: ubah pilihan bun dan filet dari default ke pilihan lain

Steps:
- klik start order
- pilih product yang memiliki halaman customize (misal Burger Ayam)
- di halaman customize, periksa pilihan bun yang terpilih secara default
- klik pilihan bun lain
- periksa perubahan pada ringkasan pesanan
- lakukan hal yang sama pada pilihan filet
- klik Add to Cart","- pilihan bun/filet berubah sesuai yang dipilih
- pilihan sebelumnya otomatis tidak terpilih
- ringkasan pesanan diperbarui sesuai pilihan terbaru
- harga menyesuaikan jika pilihan baru memiliki harga tambahan
- item berhasil ditambahkan ke cart dengan konfigurasi yang benar",As Expected,DONE,100,
BA-015,Kiosk,Customize,,33.33%,[Tambah Topping Opsional] Positif,,"Prerequisite: tambahkan topping seperti keju atau telur pada product burger

Steps:
- klik start order
- pilih product yang memiliki halaman customize
- di halaman customize, scroll ke bagian topping opsional
- klik tombol + pada salah satu topping
- periksa perubahan jumlah dan subtotal
- tambahkan topping lain jika perlu
- klik Add to Cart","- jumlah topping bertambah sesuai klik
- subtotal bertambah sesuai harga topping
- ringkasan pesanan menampilkan topping yang ditambahkan
- item berhasil ditambahkan ke cart dengan topping yang benar
- tombol - dapat mengurangi jumlah topping hingga 0 dan tidak negatif",As Expected,DONE,100,
BA-016,Kiosk,Recommendation,,25.00%,[Recommendation Kosong Tanpa Product] memilih product recommendation sampai habis,,"Prerequisite: pilih semua product rekomendasi yang ada hingga tidak ada tersisa

Steps:
- klik start order
- pilih product dan selesaikan hingga add to cart
- saat halaman recommendation muncul, pilih product rekomendasi
- ulangi memilih product rekomendasi hingga semua habis
- periksa tampilan halaman recommendation saat tidak ada product tersisa","- sistem otomatis mengarahkan ke halaman item added
- tidak terjadi error atau tampilan rusak",Not As Expected,READY TO RETEST,50,[Actual Result: - masih di halaman recommendation dengan opsi rekomendasi kosong]
BA-017,Kiosk,Recommendation,,25.00%,[Halaman Customize pada Product Tanpa Customize] product tanpa customize memiliki halaman customize yang kosong,,"Prerequisite: pilih product apapun yang tidak memiliki customize, baik yang baru dibuat atau baru diedit di CMS

Steps:
- klik start order
- pilih product yang tidak memiliki customize (baru dibuat atau baru diedit di CMS tanpa customize)
- periksa apakah halaman customize muncul setelah product dipilih
- jika halaman customize muncul, periksa isinya
- klik Add to Cart","- halaman customize tidak muncul jika product tidak memiliki customize
- sistem langsung menuju halaman upsell atau add to cart
- product berhasil ditambahkan ke cart tanpa halaman customize kosong",As Expected,DONE,100,"[Actual Result: - halaman customize muncul dalam kondisi kosong tanpa pilihan apapun pada semua product yang baru diedit atau baru dibuat di CMS, meskipun tidak memiliki customize
- terjadi tidak hanya di recommendation tapi di seluruh flow pemilihan product]

sudah di fix oleh fachri"
BA-018,Kiosk,Checkout,,9.09%,[Promo Code Delay Apply] Promo code menunjukan potongannya delay,,"Prerequisite: apply promo code dan periksa apakah diskon langsung muncul pada apply pertama

Steps:
- klik start order
- pilih product dan selesaikan hingga cart review
- klik tombol Promo Code
- masukkan kode promo valid (PROMO50K)
- klik Go
- periksa perubahan subtotal dan keterangan diskon pada cart review
- jika diskon belum muncul, tiban dengan promo yang sama atau promo lain
- periksa kembali perubahan subtotal","- diskon langsung muncul pada apply pertama tanpa perlu ditiban
- keterangan potongan diskon tampil pada ringkasan pembayaran
- subtotal berkurang sesuai nilai diskon
- tidak diperlukan workaround seperti mengubah quantity untuk memunculkan diskon",As Expected,DONE,100,sudah di fix oleh Ari
BA-019,Kiosk,Checkout,,9.09%,[OOS Topping Melebihi Stock] Menambahkan jumlah topping melebihi stock yang ada,,"Prerequisite: tambahkan topping dalam jumlah besar lalu checkout

Steps:
- klik start order
- pilih product yang memiliki topping opsional
- di halaman customize, tambahkan topping hingga jumlah besar (misal 10+)
- klik Add to Cart
- selesaikan alur hingga cart review
- klik Payment
- periksa pop up yang muncul","- pop up OOS muncul menginformasikan topping yang dipilih habis
- daftar topping yang bermasalah ditampilkan dengan jelas
- tombol Recustomize tersedia
- setelah Recustomize, item induk tetap ada di cart tanpa topping OOS
- subtotal diperbarui sesuai kondisi cart terbaru",As Expected,DONE,100,
BA-020,Kiosk,Upsell Meal Combo,,16.67%,[Semua Item Upsell OOS] Memilih product upsell yang OOS,,"Prerequisite: masuk ke halaman upsell saat semua item dalam kondisi greyed out

Steps:
- klik start order
- pilih product yang memiliki halaman upsell
- pastikan semua item upsell dalam kondisi OOS (greyed out) di backend
- periksa tampilan halaman upsell
- periksa apakah item OOS bisa diklik
- periksa tombol navigasi yang tersedia
- klik tombol Back atau Home","- semua item upsell ditampilkan dalam kondisi greyed out
- item OOS tidak bisa dipilih
- tombol Back dan Home tetap tersedia dan berfungsi
- klik Back mengembalikan ke halaman sebelumnya
- klik Home menampilkan konfirmasi start over
- tidak terjadi stuck atau error",As Expected,DONE,100,
BA-021,Kiosk,Table Number,,20.00%,[Pembatasan Input 3 Digit] Mengisi nomor meja melebihi 3 digit,,"Prerequisite: coba input nomor meja lebih dari 3 digit

Steps:
- klik start order
- pilih product dan selesaikan hingga food method
- pilih Table Delivery
- masukkan 3 digit angka pada keypad
- coba klik angka keempat
- periksa tampilan kolom input
- coba tekan backspace dan masukkan angka lagi","- 3 digit pertama berhasil diinput dan tampil pada kolom
- klik digit keempat tidak menghasilkan perubahan pada kolom input
- tidak ada error message yang muncul saat digit keempat diklik
- tombol backspace menghapus digit terakhir dengan benar
- setelah backspace, digit baru bisa diinput kembali",As Expected,DONE,100,
BA-022,Kiosk,Checkout,,9.09%,[Recustomize pada Pop Up OOS] Mengarahkan User ke halaman customize jika ada ingredient atau topping yang kosong,,"Prerequisite: klik Remove All saat pop up OOS muncul akibat ingredient melebihi stock

Steps:
- klik start order
- pilih product yang memiliki ingredient opsional (misal Buns Arang)
- tambahkan ingredient melebihi stock yang tersedia di CMS
- selesaikan alur hingga cart review
- klik Payment
- tunggu pop up OOS muncul
- klik tombol Recustomize
- periksa kondisi cart setelah Recustomize","- User diarahkan kehalaman Customize
- cart diperbarui dan subtotal menyesuaikan",As Expected,DONE,100,"[Actual Result: - setelah klik Remove All, item OOS tidak terhapus dari cart
- cart tetap dalam kondisi sebelumnya
- user tidak stuck karena masih bisa interaksi dengan tombol Back atau Home]"
BA-023,Kiosk,Checkout,,9.09%,[Stock Ingredient Setelah OOS] Negatif,,"Prerequisite: checkout dengan ingredient melebihi stock lalu periksa stock di CMS setelah pop up OOS

Steps:
- catat stock ingredient di CMS sebelum transaksi (misal Buns Arang: 4)
- klik start order
- pilih product dengan ingredient tersebut
- tambahkan ingredient melebihi stock (misal 5)
- selesaikan alur hingga cart review
- klik Payment
- tunggu pop up OOS muncul
- klik Remove All atau Back
- periksa kembali stock ingredient di CMS","- stock ingredient di CMS tetap sama seperti sebelum transaksi (4)
- tidak ada perubahan stock karena transaksi tidak selesai
- stock hanya berkurang jika transaksi berhasil sampai payment",As Expected,DONE,100,"[Actual Result: - stock ingredient bertambah setelah pop up OOS muncul dan Remove All diklik
- stock yang seharusnya 4 berubah menjadi 9 (4 + 5 yang harusnya dikurangi malah ditambahkan)
- kemungkinan terjadi double rollback stock di sisi backend
- akibatnya checkout kedua kali berhasil karena stock sudah cukup]"
C-001,Customer Queue Display,Order Queue Display,,50.00%,[Preparing Queue] Verifikasi tampilan nomor order pada kolom Preparing,,"Prerequisite: Buka layar Customer Queue Display

Steps:
- Periksa kolom Preparing pada layar 
- Periksa nomor order yang ditampilkan pada kolom tersebut 
- Periksa ukuran teks dan keterbacaan nomor order 
- Periksa tata letak nomor order pada kolom","- Nomor order yang sedang diproses ditampilkan pada kolom Preparing 
- Ukuran teks nomor order jelas dan mudah dibaca oleh pelanggan 
- Nomor order tersusun rapi secara vertikal tanpa overlap 
- Tampilan kolom stabil tanpa error atau elemen terpotong",,NOT DONE,0,
C-002,Customer Queue Display,Order Queue Display,,50.00%,[Ready for Pickup Queue] Verifikasi tampilan nomor order pada kolom Ready for Pickup,,"Prerequisite: Buka layar Customer Queue Display

Steps:
- Periksa kolom Ready for Pickup pada layar 
- Periksa nomor order yang telah selesai diproses 
- Periksa ukuran dan tampilan teks nomor order 
- Bandingkan tampilan kolom dengan kolom Preparing","- Nomor order yang telah selesai diproses muncul pada kolom Ready for Pickup 
- Teks nomor order tampil jelas dan mudah dibaca 
- Kolom Ready for Pickup memiliki tampilan berbeda sehingga status mudah dibedakan 
- Tata letak nomor order tersusun rapi tanpa overlap",,NOT DONE,0,
C-003,Customer Queue Display,Order Status Update,,50.00%,[Order Movement] Verifikasi perpindahan order dari Preparing ke Ready for Pickup,,"Prerequisite: Buka layar Customer Queue Display saat terdapat order aktif

Steps:
- Periksa nomor order pada kolom Preparing 
- Tunggu hingga pesanan selesai diproses oleh dapur 
- Periksa perubahan status order pada layar 
- Periksa perpindahan nomor order pada kolom","- Nomor order berpindah dari kolom Preparing ke kolom Ready for Pickup ketika pesanan selesai 
- Nomor order tidak lagi muncul pada kolom Preparing 
- Perpindahan order terjadi secara otomatis secara real time 
- Tampilan layar tetap stabil tanpa refresh manual",,NOT DONE,0,
C-004,Customer Queue Display,Display Content,,100.00%,[Promotional Banner] Verifikasi tampilan banner promosi pada layar Customer Queue Display,,"Prerequisite: Buka layar Customer Queue Display

Steps:
- Periksa area banner promosi pada layar 
- Periksa gambar dan teks promosi yang ditampilkan 
- Periksa posisi banner terhadap daftar nomor order 
- Pastikan banner tidak mengganggu tampilan queue","- Banner promosi tampil dengan gambar dan teks yang jelas 
- Banner ditempatkan pada area yang sesuai desain 
- Banner tidak menutupi atau menghalangi daftar nomor order 
- Tampilan layar tetap rapi dan mudah dibaca oleh pelanggan",,NOT DONE,0,
C-005,Customer Queue Display,Order Status Update,,50.00%,[Order Removal After Pickup] Verifikasi penghapusan nomor order setelah pesanan diambil oleh pelanggan,,"Prerequisite: Buka layar Customer Queue Display saat terdapat order siap diambil

Steps:
- Periksa nomor order pada kolom Ready for Pickup 
- Tunggu hingga pesanan diambil oleh pelanggan 
- Periksa perubahan daftar nomor order pada layar 
- Periksa pembaruan tampilan queue","- Nomor order yang sudah diambil tidak lagi ditampilkan pada kolom Ready for Pickup 
- Daftar nomor order diperbarui secara otomatis 
- Tidak terjadi duplikasi nomor order pada queue 
- Tampilan layar tetap stabil tanpa error atau refresh manual",,NOT DONE,0,
D-001,Scan-to-Order,Home Page,,33.33%,[Menu Categories] Verifikasi tampilan kategori menu pada halaman Home,,"Prerequisite: Buka halaman Scan-to-Order Home

Steps:
- Periksa daftar kategori menu pada halaman Home 
- Periksa ikon dan label pada setiap kategori 
- Periksa tata letak kategori pada layar 
- Tekan salah satu kategori menu","- Kategori menu seperti Deals Breakfast Entrées Salads dan Sides ditampilkan 
- Setiap kategori memiliki ikon dan label yang jelas 
- Kategori tersusun rapi dan mudah dibaca 
- Pengguna dapat memilih kategori tanpa kendala",As Expected,DONE,100,
D-002,Scan-to-Order,Home Page,,33.33%,[Search Menu] Verifikasi fungsi kolom pencarian menu,,"Prerequisite: Buka halaman Scan-to-Order Home

Steps:
- Tekan kolom Search menu 
- Masukkan nama menu pada kolom pencarian 
- Periksa hasil pencarian yang muncul 
- Periksa tampilan daftar menu pada layar","- Sistem menampilkan menu yang sesuai dengan kata kunci pencarian 
- Hasil pencarian tampil secara real time 
- Informasi menu tetap terlihat lengkap 
- Tampilan halaman tetap stabil tanpa error",As Expected,DONE,100,
D-003,Scan-to-Order,Menu Page,,20.00%,[Menu Category Navigation] Verifikasi perpindahan halaman saat memilih kategori menu,,"Prerequisite: Buka halaman Scan-to-Order Home

Steps:
- Pilih salah satu kategori menu seperti Breakfast 
- Periksa respons sistem setelah kategori dipilih 
- Periksa halaman menu yang terbuka 
- Periksa daftar menu yang ditampilkan","- Halaman Menu terbuka sesuai kategori yang dipilih 
- Daftar menu pada kategori tersebut ditampilkan 
- Informasi nama menu kalori dan harga terlihat jelas 
- Navigasi halaman berjalan tanpa error",As Expected,DONE,100,
D-004,Scan-to-Order,Menu Page,,20.00%,[Menu Item Display] Verifikasi tampilan daftar menu pada halaman Menu,,"Prerequisite: Buka salah satu kategori menu pada halaman Menu

Steps:
- Periksa daftar item menu yang ditampilkan 
- Periksa gambar produk pada setiap item 
- Periksa nama menu kalori dan harga 
- Periksa tombol tambah item pada setiap menu","- Setiap item menampilkan gambar produk yang jelas 
- Harga ditampilkan dengan jelas 
- Tata letak menu tersusun rapi dan mudah dibaca",As Expected,DONE,100,
D-005,Scan-to-Order,Menu Page,,20.00%,[Add Item to Cart] Verifikasi fungsi tombol tambah item pada menu,,"Prerequisite: Buka halaman Menu pada salah satu kategori

Steps:
- Pilih salah satu menu pada daftar 
- Tekan tombol tambah pada item tersebut 
- Periksa perubahan jumlah item 
- Periksa indikator keranjang pada layar","- Item berhasil ditambahkan ke keranjang 
- Jumlah item bertambah sesuai tombol yang ditekan 
- Indikator jumlah item pada My cart diperbarui 
- Sistem memproses penambahan item tanpa error",As Expected,DONE,100,
D-006,Scan-to-Order,Menu Page,,20.00%,[Item Quantity Control] Verifikasi kontrol jumlah item pada menu,,"Prerequisite: Buka halaman Menu dan tambahkan satu item ke keranjang

Steps:
- Periksa kontrol jumlah item pada menu 
- Tekan tombol plus untuk menambah jumlah item 
- Tekan tombol minus untuk mengurangi jumlah item 
- Periksa perubahan jumlah item pada layar","- Tombol plus menambah jumlah item 
- Tombol minus mengurangi jumlah item 
- Jumlah item diperbarui secara real time 
- Tampilan tetap stabil tanpa error",As Expected,DONE,100,
